pt,family,spp,spp_id,dist,counts,elev
210,Cisticolidae,Oreolais ruwenzori,4,1,1,2304
210,Cisticolidae,Prinia bairdii,5,2,1,2304
211,Cisticolidae,Cisticola chubbi,3,3,2,2319
211,Cisticolidae,Oreolais ruwenzori,4,2,2,2319
212,Cisticolidae,Apalis porphyrolaema,2,3,1,2332
212,Cisticolidae,Oreolais ruwenzori,4,3,1,2332
213,Cisticolidae,Apalis porphyrolaema,2,3,1,2359
213,Cisticolidae,Cisticola chubbi,3,3,2,2359
214,Cisticolidae,Apalis personata,1,2,2,2352
214,Cisticolidae,Cisticola chubbi,3,3,2,2352
215,Cisticolidae,Cisticola chubbi,3,3,2,2364
217,Cisticolidae,Apalis porphyrolaema,2,2,1,2380
217,Cisticolidae,Oreolais ruwenzori,4,2,1,2380
218,Cisticolidae,Cisticola chubbi,3,3,2,2385
219,Cisticolidae,Apalis porphyrolaema,2,1,2,2178
219,Cisticolidae,Oreolais ruwenzori,4,3,1,2178
219,Cisticolidae,Prinia bairdii,5,3,2,2178
220,Cisticolidae,Apalis porphyrolaema,2,2,1,2200
221,Cisticolidae,Apalis personata,1,2,2,2175
221,Cisticolidae,Apalis porphyrolaema,2,3,1,2175
221,Cisticolidae,Cisticola chubbi,3,2,2,2175
221,Cisticolidae,Oreolais ruwenzori,4,1,2,2175
222,Cisticolidae,Cisticola chubbi,3,2,2,2229
222,Cisticolidae,Oreolais ruwenzori,4,3,1,2229
223,Cisticolidae,Apalis porphyrolaema,2,3,1,2238
223,Cisticolidae,Cisticola chubbi,3,4,2,2238
224,Cisticolidae,Apalis porphyrolaema,2,2,2,2235
224,Cisticolidae,Oreolais ruwenzori,4,2,2,2235
225,Cisticolidae,Cisticola chubbi,3,2,2,2271
226,Cisticolidae,Cisticola chubbi,3,4,2,2297
227,Cisticolidae,Cisticola chubbi,3,2,2,2315
228,Cisticolidae,Cisticola chubbi,3,3,2,2182
228,Cisticolidae,Oreolais ruwenzori,4,2,2,2182
229,Cisticolidae,Cisticola chubbi,3,2,2,2324
230,Cisticolidae,Cisticola chubbi,3,4,2,2343
